Judul Artikel,URL Artikel,Kategori,Isi Artikel,Halaman
BI: Kami All Out untuk Menstabilkan Rupiah,https:/ / www. tempo. co/ ekonomi/ bi- kami- all- out- untuk- menstabilkan- rupiah- 1553609,ekonomi,"TEMPO. CO, Jakarta-  Bank Indonesia  (BI)  mengatakan akan all out atau melakukan upaya maksimal untuk menjaga stabilitas nilai tukar rupiah.  Menurut Direktur Eksekutif Departemen Komunikasi BI Ramdan Denny Prakoso,  BI masih akan terus melakukan intervensi terukur di pasaroff- shore,  pasar spot,  dan pasar Domestic Non Delivarable Forward  (DNDF) ,  serta melakukan transaksi pembelian Surat Berharga Negara  (SBN)  di dalam negeri. ",5
Romahurmuziy: Haji Isam Tidak Berupaya Akuisisi PPP Lewat Kerabatnya,https:/ / www. tempo. co/ politik/ romahurmuziy- haji- isam- tidak- berupaya- akuisisi- ppp- lewat- kerabatnya- 1553608,politik,"TEMPO. CO, Jakarta-  Ketua Majelis Pertimbangan DPP PPP M.  Romahurmuziy mengatakan,  Andi Syamsuddin Arsyad alias Haji Isam tidak berupaya mengambil alih PPP melalui kerabatnya.  Menurut dia,  Haji Isam sebagai pengusaha tidak perlu melakukan hal tersebut. ",5
Asosiasi Psikologi Dorong Penguatan Kesejahteraan Masyarakat Adat,https:/ / www. tempo. co/ ekonomi/ asosiasi- psikologi- dorong- penguatan- kesejahteraan- masyarakat- adat- 1553607,ekonomi,"TEMPO. CO, Jakarta- Himpunan Psikologi Indonesia melantik Pengurus Pusat Asosiasi Psikologi Indigenous dan Budaya periode 2024- 2028.  Kepengurusan asosiasi ini diharapkan bisa mendorong para psikolog berkontribusi dalam pembangunan masyarakat adat di Indonesia. ",5
Berbagai Tanggapan atas Usulan Dana Bantuan Partai Politik,https:/ / www. tempo. co/ politik/ berbagai- tanggapan- atas- usulan- dana- bantuan- partai- politik- 1553604,politik,"TEMPO. CO, Jakarta-  Usulan Wakil Ketua Komisi Pemberantasan Korupsi  (KPK)  Fitroh Rohcahyanto untuk memberikan dana subsidi lebih besar bagi partai politik menuai berbagai tanggapan.  Ada yang setuju namun ada pula yang mengkhawatirkan pemberian dana subsidi itu bisa menggerus kocek negara. ",5
Ayam Goreng Widuran: Asesmen Ulang dan Permohonan Maaf,https:/ / www. tempo. co/ politik/ ayam- goreng- widuran- asesmen- ulang- dan- permohonan- maaf- 1553601,politik,"TEMPO. CO, Jakarta-  Belakangan rumah makan Ayam Goreng Widuran menjadi sorotan setelah pihak rumah makan mengaku bahwa menu mereka tergolong non- halal.  Informasi tersebut dibagikan melalui Instagram @ayam Goreng Widuransolo pada Jumat,  23 Mei 2025. ",5
Romahurmuziy Bujuk Sandiaga hingga Anies untuk Menjadi Calon Ketum PPP,https:/ / www. tempo. co/ politik/ romahurmuziy- bujuk- sandiaga- hingga- anies- untuk- menjadi- calon- ketum- ppp- 1553599,politik,"TEMPO. CO, Jakarta-  Ketua Majelis Pertimbangan DPP PPPM.  Romahurmuziy mengatakan,  membujuk banyak orang untuk menjadi calon ketua umum PPP.  Mereka yang dibujuk adalah Sandiaga Uno,  Menteri Sosial Saifullah Yusuf,  Penasihat Khusus Presiden urusan Pertahanan Nasional Dudung Abdurachman,  dan Marzuki Alie. ",5
"Kronologi Pembacokan Jaksa Deli Serdang,  Terkait Vonis?",https:/ / www. tempo. co/ hukum/ kronologi- pembacokan- jaksa- deli- serdang- terkait- vonis- - 1553597,hukum,"TEMPO. CO, Jakarta- Jaksa fungsional Kejaksaan Negeri Deli Serdang,  Jhon Wesli Sinaga,  dan seorang ASNA censio Silvanov Hutabara dibacok saat berada di perkebunan sawit miliknya di Kecamatan Kotarih,  Kabupaten Serdang Bedagai,  Sumatera Utara,  Sabtu,  24 Mei 2025. ",5
"Usut Korupsi Dana Program Sosial,  KPK Periksa Deputi Direktur Departemen Hukum Bank Indonesia",https:/ / www. tempo. co/ hukum/ usut- korupsi- dana- program- sosial- kpk- periksa- deputi- direktur- departemen- hukum- bank- indonesia- 1553594,hukum,"TEMPO. CO, Jakarta- Komisi Pemberantasan Korupsi menjadwalkan pemeriksaan terhadap Deputi Direktur Departemen Hukum Bank Indonesia Irwan pada Senin,  26 Mei 2025.  Juru bicara KPK Budi Prasetyo mengatakan pemeriksaan tersebut untuk mendalami kasus dugaan tindak pidana korupsi dalam penyaluran dana program sosial Bank Indonesia dan Otoritas Jasa Keuangan  (OJK) . ",5
Tim Hukum Hasto Keberatan Pegawai KPK Jadi Saksi Ahli di Persidangan,https:/ / www. tempo. co/ hukum/ tim- hukum- hasto- keberatan- pegawai- kpk- jadi- saksi- ahli- di- persidangan- 1553589,hukum,"TEMPO. CO, Jakarta- Tim kuasa hukum Hasto Kristiyanto memprotes kehadiran penyelidik Komisi Pemberantasan Korupsi  (KPK) ,  Hafni Ferdian,  sebagai saksi ahli dalam sidang perkara dugaan suap dan perintangan penyidikan yang menjerat Sekretaris Jenderal PDIP itu.  “ Yang Mulia,  sebelum disumpah,  kami keberatan dengan kehadiran ahli Hafni Ferdian,  karena beliau ini adalah pegawai KPK yang merupakan penyelidik dalam perkara ini, ” kata salah satu pengacara Hasto,  Maqdir Ismail,  dalam persidangan di Pengadilan Tindak Pidana Korupsi Jakarta,  Senin,  26 Mei 2025. ",5
Siapa Saja Empat Menteri dan Wakil Menteri yang Diduga Orang Haji Isam?,https:/ / www. tempo. co/ politik/ siapa- saja- empat- menteri- dan- wakil- menteri- yang- diduga- orang- haji- isam- - 1553588,politik,"TEMPO. CO, Jakarta– Pemilik PT Jhonlin Group,  Andi Syamsuddin Aryad alias Haji Isam sedang membuka jalan politik setelah sukses berbisnis tambang hingga perkebunan.  Isam menempatkan orang kepercayaannya sebagai kepala daerah,  menteri,  hingga anggota Dewan Perwakilan Rakyat untuk mendukung rencananya berkancah di politik. ",6
Fakta di Balik Pembacokan Jaksa di Deli Serdang,https:/ / www. tempo. co/ hukum/ fakta- di- balik- pembacokan- jaksa- di- deli- serdang- 1553586,hukum,"TEMPO. CO, Jakarta-  Dua pegawai Kejaksaan Negeri Deli Serdang menjadi korban pembacokan oleh orang tak dikenal di sebuah ladang sawit.  Kedua korban adalah Jhon Wesli Sinaga,  53,  seorang jaksa fungsionaris di Kejaksaan Negeri Deli Serdang,  dan Ascensio Hutabarat,  25,  petugas pengawal tahanan. ",6
TNI Sebut Tak Ada Militerisasi di Program Dedi Mulyadi Kirim Anak ke Barak,https:/ / www. tempo. co/ politik/ tni- sebut- tak- ada- militerisasi- di- program- dedi- mulyadi- kirim- anak- ke- barak- 1553583,politik,"TEMPO. CO, Jakarta– Kepala Pusat Penerangan Tentara Nasional Indonesia  (Kapuspen TNI) ,  Mayor Jenderal Kristomei Sianturi,  mendukung penuh program Gubernur Jawa Barat Dedi Mulyadi mengirim anak yang dianggap nakal ke barak.  Kristomei meyakini pengiriman anak ke tangsi militer dapat melatih kedisiplinan. ",6
"Stair Lift Dipasang di Candi Borobudur,  Istana: untuk Kunjungan Macron dan Prabowo",https:/ / www. tempo. co/ politik/ stair- lift- dipasang- di- candi- borobudur- istana- untuk- kunjungan- macron- dan- prabowo- 1553579,politik,"TEMPO. CO, Jakarta-  Kepala Kantor Komunikasi Kepresidenan atau Presidential Communication Office  (PCO)  Hasan Nasbi mengatakan,  Presiden Prancis Emmanuel Macron akan mengunjungi Candi Borobudur,  Kabupaten Magelang antara 28 atau 29 Mei 2025.  Macron,  kata Hasan,  ingin melihat keindahan dan kemegahan Candi Borobudur sebagai salah satu keajaiban dunia. ",6
Lagu Slow Dancing V BTS Lampaui 500 Juta Streaming di Spotify,https:/ / www. tempo. co/ teroka/ lagu- slow- dancing- v- bts- lampaui- 500- juta- streaming- di- spotify- 1553577,hiburan,"TEMPO. CO, Jakarta-  Lagu solo ‘ Slow Dancing’ milik V BTS,  telah melampaui 500 juta streaming di Spotify.  Dilansir dari The Korea Times,  agensinya,  BigHit Music,  mengumumkan pencapaian ini pada Jumat,  23 Mei 2025.  Ini menjadi lagu ketiga dari V yang berhasil menembus setengah miliar pemutaran diplatform streaming musik terbesar di dunia. ",6
"14 Remaja Raih Gelar Ashoka Young Changemaker 2025,  Bawa Solusi Isu Disabilitas hingga Energi",https:/ / www. tempo. co/ politik/ 14- remaja- raih- gelar- ashoka- young- changemaker- 2025- bawa- solusi- isu- disabilitas- hingga- energi- - 1553575,politik,"TEMPO. CO, Jakarta-  Sebanyak 14 remaja dari sembilan kota dan kabupaten di Indonesia dianugerahi gelar AshokaYoung Changemaker 2025 pada 22 Mei lalu.  Mereka terpilih dari 356 pendaftar dari seluruh Indonesia melalui proses seleksi yang berlangsung di tingkat nasional dan global. ",6
"Ayam Goreng Widuran Jual Produk Non- Halal,  Apa yang Dilanggar?",https:/ / www. tempo. co/ hukum/ ayam- goreng- widuran- jual- produk- non- halal- apa- yang- dilanggar- - 1553571,hukum,"TEMPO. CO, Jakarta-  Restoran populer di Solo,  Ayam Goreng Widuran,  menjadi sorotan setelah mengumumkan bahwa produk merekanon- halalpada Jumat,  23 Mei 2025.  Padahal tempat makan ini sudah melayani pelanggan sejak 1973 atau 52 tahun. ",6
"Bawa Penumpang ke Enggano,  Kapal Nelayan Hilang Kontak Selama 30 Jam",https:/ / www. tempo. co/ ekonomi/ bawa- penumpang- ke- enggano- kapal- nelayan- hilang- kontak- selama- 30- jam- - 1553570,ekonomi,"TEMPO. CO, Bengkulu-  Kapal Motor  (KM)  Althaf menuju Pulau Enggano dari Pelabuhan Pulau Baai Kota Bengkulu,  membawa tiga orang anak buah kapal  (ABK)  dan lima orang penumpang dinyatakan hilang kontak selama 30 jam. ",6
Kata Nova Arianto soal Indonesia dan Brasil Satu Grup di Piala Dunia U- 17 2025,https:/ / www. tempo. co/ sepakbola/ kata- nova- arianto- soal- indonesia- dan- brasil- satu- grup- di- piala- dunia- u- 17- 2025- 1553566,olahraga,"TEMPO. CO, Jakarta-  Pelatih timnas U- 17 Indonesia Nova Arianto berharap mental anak- anak asuhnya tidak turun setelah undian fase grup Piala Dunia U- 17 2025.  Indonesia bakal satu grup dengan Brasil.  ""Saya berharap pemain tetap mempunyai mental yang kuat karena selama 90 menit di sepak bola semua bisa terjadi dan kami berharap kami bisa lolos babak selanjutnya dengan minimal meraih peringkat ketiga terbaik di Grup H, "" kata Nova,  dikutip dari laman resmi PSSI,  Senin,  26 Mei 2025. ",6
DPR Segera Susun UU Transportasi Online.  Sejauh Mana Urgensinya?,https:/ / www. tempo. co/ ekonomi/ dpr- segera- susun- uu- transportasi- online- sejauh- mana- urgensinya- - 1553560,ekonomi,"TEMPO. CO, Jakarta- Dewan Perwakilan Rakyat  (DPR)  RI menyatakan akan segera membahas penyusunan regulasi berupa Undang- Undang  (UU)  Transportasi Online.  Ketua Komisi V DPR RI,  Lasarus,  mengungkapkan hal tersebut usai menggelar rapat dengar pendapat umum  (RDPU)  dengan perwakilan asosiasi pengemudi ojek online  (ojol)  di Gedung Parlemen,  Rabu,  21 Mei 2025. ",6
Ruben Amorim Minta Maaf karena Musim Buruk Manchester United,https:/ / www. tempo. co/ sepakbola/ ruben- amorim- minta- maaf- karena- musim- buruk- manchester- united- 1553562,olahraga,"TEMPO. CO, Jakarta-  Ruben Amorim menyampaikan permintaan maaf kepada para pendukung Manchester United lantaran hasil buruk di Liga Inggris musim ini.  Ia ingin para suporter bersatu dan tidak saling menyalahkan setelah kemenangan 2- 0 atas Aston Villa menutup musim terburuk di Premier League. ",6
KPK Temukan Selisih Minus 31 Persen di Proyek Sekolah di Jakarta,https:/ / www. tempo. co/ hukum/ kpk- temukan- selisih- minus- 31- persen- di- proyek- sekolah- di- jakarta- 1553561,hukum,"TEMPO. CO, Jakarta-  Komisi Pemberantasan Korupsi  (KPK)  melalui Direktorat Koordinasi dan Supervisi  (Korsup)  Wilayah II menemukan deviasi atau selisih anggaran minus 31 persen dalam proyek pembangunan sekolah di DKI Jakarta.  Kepala Satgas II Korsup Wilayah II KPK Dwi Aprilia Linda Astuti mengatakan,  temuan ini diungkap oleh tim Satuan Tugas  (Satgas)  II Korsup Wilayah II KPK saat meninjau pembangunan TK Negeri,  SD Negeri 01 dan 02 Cikini,  serta Unit Sekolah Baru  (USB)  SMA di Kecamatan Menteng,  JakartaPusat,  pada Kamis,  22 Mei 2025. ",6
Penyebab Harga Minyak Mentah Indonesia Makin Murah,https:/ / www. tempo. co/ ekonomi/ penyebab- harga- minyak- mentah- indonesia- makin- murah- 1553559,ekonomi,"TEMPO. CO, Jakarta-  Harga rata- rata minyak mentah Indonesia atau Indonesia Crude Price  (ICP)  pada April 2025 menurun menjadi 65, 29 dolar Amerika Serikat per barel.  Harga rata- rata minyak mentah Indonesia pada April 2025 ini ditetapkan dalam Keputusan Menteri Energi dan Sumber Daya Mineral  (ESDM)  Nomor 176. K/ MG. 01/ MEM. M/ 2025 pada 19 Mei 2025. ",6
Wali Kota Solo Minta Ayam Goreng Widuran Ditutup untuk Asesmen Ulang,https:/ / www. tempo. co/ ekonomi/ wali- kota- solo- minta- ayam- goreng- widuran- ditutup- untuk- asesmen- ulang- 1553558,ekonomi,"TEMPO. CO, Solo-  Wali Kota Solo Respati Ardi bersama Satuan Polisi Pamong Praja dan Dinas Perdagangan Kota Solo mendatangi Rumah Makan Ayam Goreng Widuran Solo,  Jawa Tengah,  Senin,  26 Mei 2025.  Hal itu menyusul polemik pasca terungkap ada produknon- halal di rumah makan tersebut yang baru diketahui setelah puluhan tahun berdiri. ",6
Beda Pendapat Sebelum Amunisi TNI Meledak,https:/ / www. tempo. co/ politik/ pemusnahan- amunisi- tni- di- garut- - 1548675,politik,"BEBERAPA saat sebelum terjadi ledakan,  Rustiawan dan Kepala Gudang Pusat Amunisi  (Gupusmu)  III Pusat Peralatan TNI Angkatan Darat Kolonel Antonius Hermawan berdebat soal mekanisme pemusnahan amunisi militer.  Rustiawan,  warga Desa Sagara,  Kabupaten Garut,  Jawa Barat,  yang juga koordinator warga sipil yang terlibat dalam pemusnahan amunisi milik TNI,  berbeda pendapat tentang prosedur awal sebelum amunisi afkir itu dimusnahkan. ",6
Beda Pendapat Sebelum Amunisi TNI Meledak,https:/ / www. tempo. co/ politik/ pemusnahan- amunisi- tni- di- garut- - 1548675,politik,"BEBERAPA saat sebelum terjadi ledakan,  Rustiawan dan Kepala Gudang Pusat Amunisi  (Gupusmu)  III Pusat Peralatan TNI Angkatan Darat Kolonel Antonius Hermawan berdebat soal mekanisme pemusnahan amunisi militer.  Rustiawan,  warga Desa Sagara,  Kabupaten Garut,  Jawa Barat,  yang juga koordinator warga sipil yang terlibat dalam pemusnahan amunisi milik TNI,  berbeda pendapat tentang prosedur awal sebelum amunisi afkir itu dimusnahkan. ",7
Temuan Komnas HAM dari Ledakan Amunisi TNI di Garut,https:/ / www. tempo. co/ politik/ pelanggaran- pemusnahan- amunisi- tni- di- garut- 1546782,politik,"WARGA Desa Sagara,  Kecamatan Cibalong,  Kabupaten Garut,  Jawa Barat,  sudah sekitar empat dekade terlibat dalam pemusnahan amunisi milik Tentara Nasional Indonesia.  Mereka turut memusnahkan amunisi TNI karena diupah. ",7
Yassierli Sahkan Larangan Perusahaan Lakukan Penahanan Ijazah Karyawan,https:/ / www. tempo. co/ ekonomi/ yassierli- sahkan- larangan- perusahaan- lakukan- penahanan- ijazah- karyawan- 1553557,ekonomi,"TEMPO. CO, Jakarta- Menteri Ketenagakerjaan Yassierli resmi menerbitkan Surat Edaran  (SE)  Nomor M/ 5/ HK. 04. 00/ V/ 2025 yang melarang praktik penahanan ijazah dan dokumen pribadi milik pekerja oleh perusahaan.  SE ini diterbitkan pada Selasa,  20 Mei 2025 sebagai respons atas maraknya kasus penahanan ijazah oleh pemberi kerja,  yang dinilai merugikan dan melemahkan posisi tawar pekerja. ",7
Kontroversi Perpres Pelindungan terhadap Jaksa dan Keluarganya,https:/ / www. tempo. co/ politik/ kontroversi- perpres- pelindungan- terhadap- jaksa- dan- keluarganya- 1553554,politik,"PRESIDEN Prabowo Subianto menandatangani Peraturan Presiden Nomor 66 Tahun 2025 tentang Pelindungan Negara terhadap Jaksa dalam Melaksanakan Tugas dan Fungsi Kejaksaan Republik Indonesia. Perpres tersebut telah diundangkan di Jakarta pada Rabu,  21 Mei 2025.  Melalui peraturan ini,  Kejaksaan berhak mendapatkan pelindungan dari dua institusi keamanan negara,  yakni Polri dan TNI.  Pelindungan tersebut dapat dilakukan atas permintaan Kejaksaan.  “ Dalam menjalankan tugas dan fungsi,  jaksa berhak mendapatkan perlindungan negara dari ancaman yang membahayakan diri,  jiwa,  dan / atau harta benda, ” demikian bunyi Pasal 2 pada perpres tersebut.  Pasal 5 Perpres 66/ 2025 secara rinci mengatur tentang pelindungan negara bagi jaksa dan/  atau anggota keluarganya oleh Polri.  Adapun Pasal 6 menyatakan pelindungan negara oleh Polri ini mencakup bentuk pelindungan atas keamanan pribadi,  tempat tinggal,  pelindungan pada tempat kediaman baru atau rumah aman,  pelindungan terhadap harta benda,  kerahasiaan identitas,  dan/ atau bentuk pelindungan lain sesuai kondisi dan kebutuhan.  Sementara itu,  Pasal 9 perpres itu mengatur pelindungan jaksa oleh TNI,  yang diberikan dalam bentuk pelindungan terhadap institusi kejaksaan,  dukungan personel TNI dalam pengawalan jaksa saat menjalankan tugas maupun fungsi,  serta bentuk pelindungan lain sesuai kondisi dan kebutuhan yang sifatnya strategis.  Pasal 9 ayat  (2)  secara rinci menjelaskan bahwa pelindungan sesuai kondisi dan kebutuhan bersifat strategis itu yang berkaitan dengan kedaulatan dan pertahanan negara.  Nantinya,  ketentuan lebih lanjut mengenai pelindungan negara oleh TNI ditetapkan bersama Jaksa Agung dan Panglima TNI.  “Kami bersyukur begitu besarnya perhatian dan dukungan negara melalui Bapak Presiden dan pemerintah bagi institusi Kejaksaan yang terus bergerak ke arah yang lebih baik, ” ujar Kepala Pusat Penerangan Hukum Kejaksaan Agung  (Kejagung)  Harli Siregar kepadaTempopada Kamis,  22 Mei 2025.  Koalisi Masyarakat Sipil untuk Reformasi Sektor Keamanan menilai perpres pelindungan jaksa tidak mendesak dan tidak dibutuhkan.  Menurut kelompok ini,  presiden dapat memerintahkan jaksa agung memperkuat sistem keamanan internal yang dimiliki kejaksaan atau meminta bantuan kepolisian,  bukan tentara.  “Kondisi kejaksaan masih dalam keadaan normal menangani kasus- kasus hukum yang ada.  Tidak ada ancaman militer yang mengharuskan presiden ataupun Panglima TNI mengerahkan militer  (TNI)  ke kejaksaan, ” demikian keterangan koalisi yang dibagikan Direktur Eksekutif Amnesty International Indonesia Usman Hamid pada Kamis,  22 Mei 2025.  Koalisi ini juga mencakup Imparsial,  KontraS,  dan Yayasan Bantuan Lembaga Hukum Indonesia.  Menurut koalisi,  penerbitan Perpres 66/ 2025 membuka ruang kembalinya dwifungsi TNI.  Perpres itu membawa militer masuk jauh ke wilayah sipil,  yakni ke kejaksaan.  Padahal,  kata kelompok ini,  kejaksaan adalah aparat penegak hukum yang melaksanakan kewenangan penuntutan serta kewenangan lain,  sedangkan TNI mengurus pertahanan.  Menurut koalisi,  perpres itu tidak menjadikan UU TNI maupun UU Polri sebagai rujukan pembentukannya.  Padahal substansi perpres banyak mengatur tentang pelibatan TNI dan Polri dalam pengamanan kejaksaan.  Konsideran Perpres 66/ 2025,  kata koalisi,  hanya mencantumkan Pasal 4 ayat  (1)  UUD NKRI 1945 sebagai dasar hukum pembentukan perpres,  sehingga perpres ini sama sekali tidak menunjukkan kejelasan tentang pengerahan pasukan TNI dalam konteks Operasi Militer Selain Perang  (OMSP)  sebagaimana diatur dalam Pasal 7 UU TNI.  Perpres ini,  menurut koalisi,  juga sama sekali tidak menjelaskan secara jelaskategori OMSP yang dijadikan dasar keterlibatan TNI.  Pasal 7 UU TNI hanya membatasi OMSP ke dalam 16 jenis.  Tugas dan fungsi kejaksaan tidak termasuk di dalam 16 jenis OMSP tersebut.  “Hal ini tentu menimbulkan potensi penyalahgunaan kekuatan militer karena tidak ada pembatasan yang jelas dan tegas tentang ruang gerak TNI itu sendiri, ” katanya.  Pengamat pertahanan dan keamanan dari Institute for Security and Strategic Studies  (ISSES)  Khairul Fahmi menilai Perpres 66/ 2025 harus memiliki batasan yang ketat demi membatasi wewenang TNI.  “Perlu SOP  (prosedur operasional standar)  yang ketat,  batasan yang jelas,  dan durasi yang terukur agar tidak menimbulkan kesan militerisasi atau tumpang tindih kewenangan, ” kata dia pada Sabtu,  24 Mei 2025,  seperti dikutip dari Antara.  Menurut Fahmi,  prinsip dasar dari terbentuknya perpres tersebut harus didukung,  yakni mengerahkan TNI melindungi seluruh komponen Kejaksaan Agung  (Kejagung)  dalam menjalankan tugas.  Namun dia juga tidak menyalahkan masyarakat yang khawatir karena perpres itu memfasilitasi TNI untuk campur tangan dalam kerja kejaksaan,  yakni di bidang pengamanan.  “Kekhawatiran sebagian pihak bahwa ini bisa membuka celah keterlibatan TNI yang terlalu luas dalam urusan sipil adalah hal yang sah dan wajar dalam demokrasi, ” ujar Fahmi.  Karena itu,  Fahmi menilai baik TNI maupun Polri harus tunduk pada ketentuan perpres,  yakni porsi kerja dua instansi tersebut hanya sebatas pengamanan.  “Perpres ini menegaskan bahwa TNI dan Polri tidak mengambil alih fungsi penegakan hukum,  melainkan hadir dalam bentuk perlindungan terbatas terhadap jaksa, ” kata dia.  Fahmi menambahkan komitmen TNI dan Polri juga perlu diawasi oleh publik agar dua instansi itu taat dengan ketentuan di dalam perpres.  Dengan keterbukaan untuk diawasi,  dia yakin kepercayaan publik akan TNI maupun Polri dalam menjalankan perpres tersebut bakal meningkat.  “Pengawasan dan akuntabilitas kelembagaan,  serta komunikasi publik yang terbuka,  tetap menjadi kunci untuk memastikan bahwa profesionalisme tetap terjaga,  kepercayaan publik tetap tumbuh,  dan demokrasi tetap sehat, ” tuturnya.  Adapun Kepala Dinas Penerangan TNI Angkatan Darat  (Kadispenad)  Brigjen Wahyu Yudhayana mengatakan pihaknya akan memberikan pelindungan kepada jaksa sesuai dengan permintaan Kejagung.  Menurut dia,  hal tersebut sesuai dengan Perpres 66/ 2025.  “Pengamanan kejaksaan ini bersifat permintaan,  artinya apakah nanti akan permanen atau tidak,  tentunya juga tergantung dari institusi kejaksaan sebagai pihak yang meminta bantuan kepada TNI, ” kata Wahyu saat dikonfirmasi pada Sabtu.  Wahyu menjelaskan nantinya prajurit TNI AD akan ditugaskan melindungi jaksa dalam bekerja seperti saat bersidang di pengadilan ataupun ketika sedang menjalani proses penyelidikan.  Dia memastikan pihaknya tidak akan bekerja di luar ketentuan perpres,  apalagi mencampuri kerja jaksa dalam proses penindakan hukum.  Sementara itu,  Menteri Sekretaris Negara Prasetyo Hadi mengatakan keterlibatan TNI dalam pelindungan jaksa adalah hal normal.  Pelindungan itu merupakan bagian dari kerja sama institusi kejaksaan dengan TNI.  “Jadi begini ya,  sebenarnya itu sesuatu yang normal saja.  Suatu yang lumrah.  Tidak hanya TNI,  kejaksaan juga bekerja sama dengan Polri, ” kata Prasetyo di Kompleks Istana Kepresidenan,  Jakarta Pusat,  Jumat,  23 Mei 2025.  Mensesneg mengatakan pelibatan TNI dalam pelindungan jaksa tidak harus dipahami dalam konteks ada ancaman militer.  Peran melindungi jaksa,  kata dia,  tidak perlu dilihat dari fungsi institusi TNI,  tetapi bisa dilihat manfaat TNI untuk kepentingan masyarakat.  “Tidak perlu terjebak fungsi institusinya.  Tapi apa yang bisa dikerjakan,  apa yang bisa diberikan manfaat untuk kepentingan masyarakat,  bangsa dan negara, ” ujar dia.  Politikus Partai Gerindra itu menjelaskan tujuan pelindungan itu sesuai dengan keinginan Prabowo untuk memerangi korupsi.  Perang itu berupaya mempertahankan sumber daya alam Indonesia.  “Tugas ini yang sedang dikerjakan oleh teman- teman kejaksaan, ” kata dia.  Dia menuturkan terbitnya perpres tersebut juga bukan karena adanya surat telegram Panglima TNI Jenderal Agus Subiyanto yang menugasi personelnya melindungi kejaksaan.  Menurut Prasetyo,  pembahasan perpres itu sudah lama,  bersamaan dengan pembentukan perpres satgas penertiban kawasan hutan.    Pilihan editor : Apa Dampak Perpanjangan Usia Pensiun ASN",7
SHINee Kenang Jonghyun di Hari Ulang Tahun Grup ke- 17,https:/ / www. tempo. co/ teroka/ shinee- kenang- jonghyun- di- hari- ulang- tahun- grup- ke- 17- - 1553552,hiburan,"TEMPO. CO, Jakarta- Boy group K- pop SHINee merayakan ulang tahun debut ke- 17 mereka pada Ahad,  25 Mei 2025,  dengan merilis single terbaru berjudul ‘Poet | Artist’.  Lagu utama dan lagu tambahan berjudul ‘Starlight’ dirilis pukul 00. 00 waktu Korea Selatan di berbagai platform musik.  Di waktu yang sama,  video musik ‘Poet | Artist’ juga dirilis di kanal YouTube resmi SHINee. ",7
"TNI Bantah Tembak Seorang Ibu di Intan Jaya,  Kapendam: Penyebab Meninggal Belum Diketahui",https:/ / www. tempo. co/ politik/ tni- bantah- tembak- seorang- ibu- di- intan- jaya- kapendam- penyebab- meninggal- belum- diketahui- - 1553550,politik,"TEMPO. CO, Jakarta-   Tentara Nasional Indonesia  (TNI)  membantah telah melakukan penembakan yang menewaskan seorang ibu bernama Hetina Mirip di Intan Jaya,  Papua Tengah.  Kepala Penerangan Kodam XVII Cenderawasih Kolonel Infanteri Candra Kurniawan mengatakan,  penyebab meninggalnya korban hingga kini belum diketahui. ",7
Fakta- fakta Kasus GRIB Jaya Menduduki Lahan BMKG,https:/ / www. tempo. co/ hukum/ fakta- fakta- kasus- grib- jaya- menduduki- lahan- bmkg- 1553549,hukum,"TEMPO. CO, Jakarta-  Organisasi masyarakat Gerakan Rakyat Indonesia Bersatu Jaya  (GRIB Jaya)  kembali menjadi sorotan usai dilaporkan karena dianggap menduduki lahan milik Badan Meteorologi,  Klimatologi,  dan Geofisika  (BMKG)  di Pondok Aren,  Tangerang Selatan,  Banten.  Kasusperebutan lahanini pun berlanjut hingga ditangkapnya 17 anggota ormas itu oleh aparat Polda Metro Jaya,  Sabtu,  24 Mei 2025. ",7
"Bulog Serap Gabah Beragam Mutu,  Bapanas: Asal Penuhi Standar",https:/ / www. tempo. co/ ekonomi/ bulog- serap- gabah- beragam- mutu- bapanas- asal- penuhi- standar- - 1553544,ekonomi,"TEMPO. CO, Jakarta-  Badan Pangan Nasional  (Bapanas)  mengklaim pemerintah tetap memperhatikan kualitas gabah petani yang diserap oleh Perum Bulog.  Pernyataan ini menanggapi isu gabah bermutu rendah akibat kebijakan harga pembelian pemerintah  (HPP)  gabah Rp 6. 500 per kilogram any quality  (ragam mutu) . ",7
Alasan BEM UGM Membuat Mosi Tidak Percaya pada Rektor,https:/ / www. tempo. co/ politik/ alasan- bem- ugm- membuat- mosi- tidak- percaya- pada- rektor- 1553543,politik,"TEMPO. CO, Jakarta-  Badan Eksekutif Mahasiswa Keluarga Mahasiswa Universitas Gadjah Madasecara terbuka menyatakan mosi tidak percaya terhadap Rektor UGM Ova Emilia.  Ketua BEM KM UGM,  Tiyo Ardianto,  mengatakan situasi dan kondisi Indonesia yang sedang tidak baik- baik saja melatarbelakangi pembuatan mosi tersebut. ",7
Kota yang Paling Banyak Hidden Gem di Jepang,https:/ / www. tempo. co/ hiburan/ kota- yang- paling- banyak- hidden- gem- di- jepang- 1553542,hiburan,"TEMPO. CO, Jakarta- Jepang menyambut 36, 87 pengunjung pada tahun 2024.  Destinasi yang paling banyak dikunjungi adalah Tokyo,  Kyoyo,  dan Osaka.  Tokyo juga termasuk destinasi yang paling dikunjungi wisatawan mengalahkan Thailand,  tahun lalu. ",7
