Judul Artikel,URL Artikel,Kategori,Isi Artikel,Halaman
Kolaborasi F1 dan Disney dengan Karakter Mickey Mouse,https:/ / www. tempo. co/ olahraga/ kolaborasi- f1- dan- disney- dengan- karakter- mickey- mouse- 1553707,olahraga,"FORMULA 1  (F1)  dan Disney mengumumkan kolaborasi karakter ikonik Mickey Mouse dan teman- temannya akan memasuki dunia balap pada 2026.  Dikutip dari situs webF1,  kolaborasi ini keingiman kedua merek dalam hal kreativitas,  hiburan,  dan inovasi.  ""Kami sangat antusias memperkenalkan dunia Mickey and Friends kepada para penggemar Formula 1,  dan sebaliknya, ” kata Chief Commercial Officer Formula 1 Emily Prazer. ",1
IHSG dan Rupiah Kompak Melemah pada Penutupan Perdagangan Hari Ini,https:/ / www. tempo. co/ ekonomi/ ihsg- dan- rupiah- kompak- melemah- pada- penutupan- perdagangan- hari- ini- 1553704,ekonomi,"TEMPO. CO, Jakarta-  Indeks Harga Saham Gabungan  (IHSG)  melemah 0, 36 persen ke level 7. 188, 35 pada penutupan perdagangan hari ini,  Senin,  26 Mei 2025.  Sementara itu,  rupiah di pasar spot melemah 31 poin jadi 16. 249 per dolar Amerika Serikat. ",1
DPR Setujui Rekomendasi Naturalisasi 4 Pemain untuk Timnas Putri Indonesia,https:/ / www. tempo. co/ olahraga/ dpr- setujui- rekomendasi- naturalisasi- 4- pemain- untuk- timnas- putri- indonesia- 1553701,olahraga,"TEMPO. CO, Jakarta-  Komisi Olahraga DPR RI menyetujui rekomendasi pemberian status warga negara Indonesia terhadap empat atlet sepak bola putri.  Empat atlet itu akan dinaturalisasi untuk memperkuat timnas putri Indonesia. ",2
Sinopsis Jurassic World Rebirth,https:/ / www. tempo. co/ teroka/ sinopsis- jurassic- world- rebirth- 1553688,hiburan,"CUPLIKAN  (trailer)  kedua film Jurassic World Rebirth telah diluncurkan pada Senin,  20 Mei 2025.  Kelanjutan dari waralabaJurassic World itu dijadwalkan tayang pada 2 Juli 2025.   Video cuplikan berdurasi 2 menit 37 detik itu dibuka dengan kelompok ilmuwan yang memakai pakaian hazmat.  Adapun salah satunya terjebak dalam cengkeraman dinosaurus.  Tayangan beralih ke Zora Bennett  (Scarlett Johansson)  dan Duncan Kincaid  (Mahershala Ali)  yang tiba di pulau itu yang mencatat bahwa pekerjaan eksperimental karyawan taman hiburan hanya menyisakan dinosaurus terburuk. ",2
KPK Periksa 5 Anggota DPRD Kabupaten Ogan Komering Ulu,https:/ / www. tempo. co/ hukum/ kpk- periksa- 5- anggota- dprd- kabupaten- ogan- komering- ulu- 1553700,hukum,"TEMPO. CO, Jakarta- Komisi Pemberantasan Korupsi  (KPK)  memeriksa 5 orang anggota Dewan perwakilan Rakyat Daerah Kabupaten Ogan Komering Ulu  (OKU) ,  Provinsi Sumatera Selatan,  pada hari ini,  Senin,  26 Mei 2025.  Pemeriksaan tersebut dilakukan dalam kasus dugaan korupsi pengadaan barang dan jasa di lingkungan Dinas Pekerjaan Umum dan Perumahan Rakyat  (PUPR)  Kabupaten OKU. ",2
Sebanyak 10 Ribu MItra UMKM Alfamart Dapat Proteksi Usaha,https:/ / www. tempo. co/ ekonomi/ sebanyak- 10- ribu- mitra- umkm- alfamart- dapat- proteksi- usaha- 1553680,ekonomi,"TEMPO. CO, Tangerang-  PT Sumber Alfaria Trijaya Tbk.   (Alfamart)  dan PT AsuransiKreditIndonesia  (Askrindo)  meluncurkan program Perlindungan Mitra Tenant UMKM dari risiko kebakaran,  bencana alam dan gangguan usaha lainnya.  Program ini menyasar 10 ribu UMKM yang mengoperasionalkan bisnisnya di 20 ribu gerai Alfamart di Indonesia. ",2
Patrick Kluivert Panggil Beckham Putra untuk Kualifikasi Piala Dunia 2026,https:/ / www. tempo. co/ sepakbola/ patrick- kluivert- panggil- beckham- putra- untuk- kualifikasi- piala- dunia- 2026- 1553699,olahraga,"TEMPO. CO, Jakarta-  Pelatih Timnas Indonesia Patrick Kluivert memanggil Beckham Putra Nugraha untuk menggantikan Septian Bagaskara.  Ia mengganti Septian karena pemain Dewa United mengalami cedera.  ""Septian Bagaskara tidak bisa ikut bergabung karena cedera jadi saya memanggil pemain dari tim juara Persib Bandung,  namanya Beckham Putra, "" kata dia. ",2
Pria di Ciamis Tega Cabuli Anak Kandung,https:/ / www. tempo. co/ hukum/ pria- di- ciamis- tega- cabuli- anak- kandung- - 1553697,hukum,"TEMPO. CO, Ciamis-   Seorang pria berinisial S,  42 tahun,  tega mencabuli anak kandung yang masih duduk di sekolah dasar.  Perbuatan itu terbongkar setelah ibu kandung korban mendapat laporan dari para tentangga.  ""Perbuatan tersangka kepada korban telah berlangsung selama dua tahun, "" ujar Kapolres Ciamis Ajun Komisaris Besar Akmal,  Senin,  26 Mei 2025. ",2
Tastefully Yours Episode 5: Masa Lalu Datang Kembali,https:/ / www. tempo. co/ teroka/ tastefully- yours- episode- 5- masa- lalu- datang- kembali- 1553686,hiburan,"TEMPO. CO, Jakarta-  Drama Korea Taste fully Yours akan menayangkan episode 5 pada malam ini,  Senin,  26 Mei 2025 di Netflix.  Dalam episode terbaru ini Yoo Yeon Seok muncul secara tiba- tiba,  menambah konflik di antara kedua pemeran utama,  Go Min Si dan Kang Ha Neul. ",2
Indonesia dan Cina Tandatangani MoU untuk Penggunaan Mata Uang Lokal,https:/ / www. tempo. co/ ekonomi/ indonesia- dan- cina- tandatangani- mou- untuk- penggunaan- mata- uang- lokal- 1553693,ekonomi,"TEMPO. CO, Jakarta-  Gubernur Bank Indonesia Perry Warjiyo dan Gubernur People’s Bank of China Pan Gongsheng menandatangani nota kesepahaman atau memorandum of understanding  (MoU)  untuk mendorong penggunaan mata uang lokal dalam transaksi bilateral.  Penandatanganan MoU ini disaksikan langsung oleh Presiden Prabowo Subianto dan Perdana Menteri Cina Li Qiang di Istana Merdeka pada Ahad,  25 Mei 2025. ",2
Sembilan Dosen Berunjuk Rasa Buntut Mandeknya Beasiswa Pendidikan Indonesia,https:/ / www. tempo. co/ politik/ sembilan- dosen- berunjuk- rasa- buntut- mandeknya- beasiswa- pendidikan- indonesia- 1553692,politik,"TEMPO. CO, Jakarta-  Sebanyak sembilan orang dosen dari berbagai daerah di Indonesia berunjuk rasa di kantor Kementerian Pendidikan Tinggi,  Sains,  dan Teknologi pada hari ini Senin 26 Mei 2025.  Mereka mewakili total 42 dosen penerima program Beasiswa Pendidikan Indonesia  (BPI)  Pathway Luar Negeri 2024.  Mereka terancam batal menempuh program doktor atau S3 ke Amerika Serikat akibat ketiadaan anggaran. ",2
Statistik Jay Idzes Bersama Venezia di Liga Italia Musim Ini,https:/ / www. tempo. co/ sepakbola/ statistik- jay- idzes- bersama- venezia- di- liga- italia- musim- ini- 1553691,olahraga,"TEMPO. CO, Jakarta-  Pemain Timnas Indonesia Jay Idzes gagal membawa Venezia dari jerat degradasi Liga Italia Serie A.  Dalam laga terakhir melawan Juventus pada Senin dinihari,  26 Mei 2025,  Venezia kalah 2- 3. ",2
Polda Metro Jaya Tangkap 3. 599 Preman dalam 15 Hari,https:/ / www. tempo. co/ hukum/ polda- metro- jaya- tangkap- 3- 599- preman- dalam- 15- hari- 1553690,hukum,"TEMPO. CO, Jakarta- Polda Metro Jaya menangkap 3. 599 orang terduga pelaku premanisme selama 15 hari Operasi Berantas Jaya,  sejak 9 -  23 Mei 2025.  Dari 3. 599 orang tersebut,  polisi memutuskan untuk melakukan pembinaan atau penetapan tersangka. Sebanyak 348 orang ditetapkan sebagai tersangka,  83 di antaranya ditetapkan tersangka oleh Polda Metro Jaya.  “Sedangkan 265 orang ditetapkan tersangka oleh jajaran polres, ” kata Kepala Biro Operasi  (Karo Ops)  Polda Metro Jaya Komisaris Besar I Ketut Gede Wijatmika di Polda Metro Jaya,  Jakarta Selatan,  Senin,  26 Mei 2025. ",2
Mabes TNI: Jika Ada Warga yang Alami Intimidasi Laporkan ke Polisi,https:/ / www. tempo. co/ politik/ mabes- tni- jika- ada- warga- yang- alami- intimidasi- laporkan- ke- polisi- 1553689,politik,"TEMPO. CO, Jakarta-  Markas Besar Tentara Nasional Indonesia atau MabesTNI menyatakan,  tindakan intimidasi terhadap individu maupun kelompok yang berpendapat tidak dapat dibenarkan.  Kepala Pusat Penerangan atau Kapuspen TNI Mayor Jenderal Kristomei Sianturi menyarankan kepada masyarakat yang mendapat intimidasi hingga ancaman agar melaporkan ke polisi. ",2
"Mahasiswa Fakultas Hukum UGM Tewas Ditabrak Mobil,  Dekan: Harus Dusut Tuntas",https:/ / www. tempo. co/ politik/ mahasiswa- fakultas- hukum- ugm- tewas- ditabrak- mobil- dekan- harus- dusut- tuntas- 1553687,politik,"TEMPO. CO, Yogyakarta-  Dekan Fakultas Hukum Universitas Gadjah Mada  (UGM)  Yogyakarta,  Dahliana Hasan menyatakan Fakultas Hukum menyiapkan pendampingan hukum untuk Argo Ericko Achfandi,  korban yang ditabrak mobil Bayerische Motoren Werke  (BMW) ,  dikendarai mahasiswa International Undergraduate Program Fakultas Ekonomika dan Bisnis UGM berinisial CPP pada Sabtu dini hari,  24 Mei 2025.  Pendampingan hukum itu menurut Dahliana melalui Pusat Konsultasi dan Bantuan Hukum atau PKBH Fakultas Hukum.  Tim dari PKBH mendampingi keluarga korban sebelum pemeriksaan oleh polisi hingga ke pengadilan.  Dahliana juga telah mengutus wakil dekan untuk mengawal kasus tersebut di Polresta Sleman.  “Kami minta polisi mengusut tuntas kasus ini, ” kata Dahliana kepada Tempo ditemui di Fakultas Hukum,  Senin,  26 Mei 2025.  Fakultas Hukum telah menghimpun keterangan dari polisi ihwal peristiwa itu.  Argo,  18,  tewas di Simpang Tiga Jalan Palagan Tentara Pelajar,  Dusun Sedan,  Sariharjo,  Ngaglik,  Sleman pada pukul 01. 00 WIB setelah ditabrak BMW yang dikendarai CPP.  Menggunakan sepeda motor,  Argo melaju dari arah selatan ke utara di Jalan Palagan.  Saat BMW menabraknya,  ia hendak berputar arah ke selatan.  Mobil BMW yang dikemudikan CPP,  21,  melaju dengan kecepatan tinggi.  Argo terpental bersama sepeda motornya.  Dia cedera berat di kepala dan tewas di lokasi kecelakaan.  BMW itu juga membentur mobil Honda CRV yang terparkir di tepi jalan.  Jenazah Argo saat itu dibawa ke Rumah Sakit Bhayangkara Polda DIY dan dikirim ke rumah duka keluarga korban di Kecamatan Cilodong,  Kota Depok,  Jawa Barat pada Sabtu siang.  Dahliana datang ke RS Bhayangkara dan melepas jenazah Argo.  “Kami telah mengutus wakil dekan datang ke rumah duka dan bertemu ibu korban, ” kata Dahliana.  Ketua Dewan Mahasiswa Justicia Fakultas Hukum UGM,  Radea Basukarna Prawira Yudha mengatakan kecelakaan terjadi saat Argo pulang dari kampus menuju rumah kosnya.  Di kampus,  Argo menjadi panitia acara pentas olahraga dan seni.  Argo,  mahasiswa semester dua,  aktif dalam berbagai kegiatan organisasi kemahasiswaan.  Dia masuk UGM melalui Seleksi Nasional Mahasiswa Baru jalur prestasi dan mendapatkan beasiswa.  Argo hidup bersama ibu tunggalnya,  ayahnya meninggal saat ia berumur 7 tahun.  Adapun,  CPP merupakan fungsionaris Himpunan Pengusaha Muda Indonesia Perguruan Tinggi UGM.  Anggota Hipmi PT UGM dipersiapkan untuk kaderisasi calon anggota Hipmi yang berasal dari mahasiswa.  Sebagai bentuk solidaritas,  Dema Justicia,  kata Radea berinisiatif menggelar doa bersama dan tabur bunga untuk Argo di Fakultas Hukum UGM pada Senin malam,  26 Mei 2025.  “Kami mendesak kasus ini diusut sampai tuntas hingga korban dapat keadilan, ” kata Radea.     Pilihan Editor : Alasan BEM UGM Membuat Mosi Tidak Percaya pada Rektor ",2
Mengenal Pusat Laboratorium Forensik yang Periksa Keaslian Ijazah Jokowi,https:/ / www. tempo. co/ hukum/ mengenal- pusat- laboratorium- forensik- yang- periksa- keaslian- ijazah- jokowi- 1553683,hukum,"TEMPO. CO, Jakarta-  Tim penyelidik bersama Pusat Laboratorium Forensik  (Puslabfor)  Badan Reserse Kriminal  (Bareskrim)  Polri melakukan pemeriksaan secara ilmiah terhadap ijazah sarjana Fakultas Kehutanan Universitas Gadjah Mada  (UGM)  milik mantan Presiden Joko Widodo.  Hasilnya,  penyidik menyatakan ijazah Jokowi adalah asli. ",2
Zarof Ricar Mengenal Lisa Rachmat sebagai Calo Kasus,https:/ / www. tempo. co/ hukum/ zarof- ricar- mengenal- lisa- rachmat- sebagai- calo- kasus- 1553682,hukum,"TEMPO. CO, Jakarta-  Mantan Kepala Badan Penelitian dan Pengembangan dan Pendidikan dan Pelatihan Hukum dan Peradilan Mahkamah Agung  (MA)  Zarof Ricar mengaku mengenal Lisa Rachmat saat mengurus perkara Gregorius Ronald Tannur.  Bahkan dia baru mengetahui Lisa memiliki kantor pengacara ketika ramai kasus Ronald Tannur. ",2
Netflix Meluncurkan Cuplikan Serial Jepang Glass Heart,https:/ / www. tempo. co/ teroka/ netflix- meluncurkan- cuplikan- serial- jepang- glass- heart- 1553681,hiburan,"SERIAL Jepang garapan Netflix berjudul Glass Heart yang dibintangi oleh Takeru Satoh dijadwalkan tayang pada 31 Juli 2025.  Adapun klip pendek  (teaser)  yang telah dirilis di saluran YouTube Netflix Japan pada Kamis,  22 Mei.  Satoh memerankan Naoki Fujitani,  vokalis band fiksi TenBlank. ",2
TNI Klaim Tak Terlibat dalam Kematian Seorang Ibu di Intan Jaya Papua,https:/ / www. tempo. co/ politik/ tni- klaim- tak- terlibat- dalam- kematian- seorang- ibu- di- intan- jaya- papua- 1553677,politik,"TEMPO. CO, Jakarta-  Kepala Pusat Penerangan TNI Mayor Jenderal Kristomei Sianturi mengatakan,  militer tidak terlibat dalam peristiwa penembakan yang menewaskan seorang ibu bernama Hetina Mirip di Kampung Jaindapa,  Distrik Sugapa,  Kabupaten Intan Jaya,  Papua Tengah.  Adapun jasad Hetina Mirip ditemukan pada 23 Mei di Kampung Ndugusiga,  Distrik Sugapa. ",2
Rekomendasi Peneliti UII untuk Kelola Risiko Pelonggaran Moneter BI,https:/ / www. tempo. co/ ekonomi/ rekomendasi- peneliti- uii- untuk- kelola- risiko- pelonggaran- moneter- bi- - 1553662,ekonomi,"TEMPO. CO, Jakarta- Peneliti dari Universitas Islam Indonesia  (UII)  Listya Endang Artiani mengatakan keputusan pelonggaran moneter oleh Bank Indonesia  (BI)  menandai masuknya Indonesia ke fase pemulihan lanjutan pasca gejolak ekonomi global.  Namun,  menurut Listya efektivitas langkah ini bergantung pada berbagai faktor,  baik dari sisi domestik maupun eksternal. ",3
Perkara Lahan BMKG VS GRIB Jaya: Bagaimana Polisi Menanganinya?,https:/ / www. tempo. co/ hukum/ perkara- lahan- bmkg- vs- grib- jaya- bagaimana- polisi- menanganinya- - 1553673,hukum,"TEMPO. CO, Jakarta-  Dugaan premanisme oleh organisasi masyarakat atau ormas ternyata tak hanya dialami perusahaan swasta.  Baru- baru ini lembaga pemerintah Badan Meteorologi,  Klimatologi,  dan Geofisika  (BMKG)  melaporkan lahan miliknya diduduki ormas GRIB Jaya. . ",3
Sebanyak 70 Persen Pengelola Hotel dan Restoran akan PHK Karyawan,https:/ / www. tempo. co/ ekonomi/ sebanyak- 70- persen- pengelola- hotel- dan- restoran- akan- phk- karyawan- - 1553667,ekonomi,"TEMPO. CO, Jakarta-  Sebanyak 70 persen pelaku usaha di sektor perhotelan dan restoran di Jakarta berpotensi melakukan pemutusan hubungan kerja  (PHK)  karena mengalami penurunan tingkat okupansi. ",3
"Syarat Usia masuk SD di SPMB 2025,  Dibawah 7 Tahun Bisa Daftar?",https:/ / www. tempo. co/ politik/ syarat- usia- masuk- sd- di- spmb- 2025- dibawah- 7- tahun- bisa- daftar- - 1553674,politik,"TEMPO. CO, Jakarta-  Pendaftaran Sistem Penerimaan Murid Baru  (SPMB)  2025 untuk jenjang Sekolah Dasar  (SD)  di sejumlah wilayah mulai dibuka.  Salah satu informasi yang banyak dicari oleh orang tua adalah seputar usia masuk SD melalui jalur SPMB 2025. ",3
2 Bulan Lalu Kapolri Janji Usut Tuntas Kasus Teror Kepala Babi di Kantor Tempo,https:/ / www. tempo. co/ hukum/ 2- bulan- lalu- kapolri- janji- usut- tuntas- kasus- teror- kepala- babi- di- kantor- tempo- 1553669,hukum,"TEMPO. CO, Jakarta- Kasus teror kepala babi kepada Tempo telah dua bulan berlalu,  sejak 19 Maret 2025.  Teror itu kemudian bertambah dengan dikirimkannya enam bangkai tikus ke kantor Tempo,  dua hari kemudian.  Ketika itu Kepala Kepolisian Republik Indonesia atau Kapolri Jenderal Listyo Sigit Prabowo menjanjikan mengusut tuntas kasus teror ini.  Namun,  sampai kini kelanjutan pengusutan masih tanpa kabar. ",3
Apa Saja Isi Rumah Haji Isam yang Dekat dengan Kediaman Prabowo?,https:/ / www. tempo. co/ politik/ apa- saja- isi- rumah- haji- isam- yang- dekat- dengan- kediaman- prabowo- - 1553668,politik,"TEMPO. CO, Jakarta-  Pemilik PT Jhonlin Group,  Andi Syamsuddin Aryad alias Haji Isam,  membangun rumah di atas tanah seluas 3. 000 meter di kawasan Kebayoran Baru,  Jakarta Selatan.  Rumah itu berjarak kurang dari 300 meter dari kediaman Presiden Prabowo Subianto di Jalan Kertanegara. ",3
Demi Lovato Menikah dengan Jordan 'Jutes' Lutes,https:/ / www. tempo. co/ hiburan/ demi- lovato- menikah- dengan- jordan- jutes- lutes- 1553665,hiburan,"TEMPO. CO, Jakarta-  Musisi dan aktris Demi Lovato resmi menikah dengan penyanyi dan penulis lagu Jordan ‘Jutes’ Lutes pada Ahad,  25 Mei 2025.  Upacara pernikahan digelar secara tertutup di California,  tepat pukul empat sore waktu setempat.  Pasangan ini pertama kali bertemu di studio pada Januari 2022 saat menggarap musik untuk album Holy  Fvck milik Lovato. ",3
Denny Indrayana Kecewa atas Putusan MK yang Menolak Gugatan PSU Banjarbaru,https:/ / www. tempo. co/ politik/ denny- indrayana- kecewa- atas- putusan- mk- yang- menolak- gugatan- psu- banjarbaru- 1553664,politik,"TEMPO. CO, Banjarbaru-  Anggota Tim Hukum Hanyar Banjarbaru,  Denny Indrayana,  kecewa atas putusan Mahkamah Konstitusi yang memutuskan bahwa sengketa PSU Pilkada Banjarbaru tidak memenuhi syarat formil untuk dilanjutkan ke sidang pembuktian. ",3
